#https://www.ncbi.nlm.nih.gov/nuccore/NC_000001?report=girevhist
#Accession		Gi
NC_000001.11	568815597
NC_000001.10	224589800
NC_000001.9		89161185

NC_000002.12	568815596
NC_000002.11	224589811
NC_000002.10	89161199

NC_000003.12	568815595	
NC_000003.11	224589815
NC_000003.10	89161205

NC_000004.12	568815594
NC_000004.11	224589816
NC_000004.10	89161207

NC_000005.10	568815593
NC_000005.9		224589817
NC_000005.8		51511721

NC_000006.12	568815592
NC_000006.11	224589818
NC_000006.10	89161210

NC_000007.14	568815591
NC_000007.13	224589819
NC_000007.12	89161213

NC_000008.11	568815590
NC_000008.10	224589820
NC_000008.9		51511724

NC_000009.12	568815589
NC_000009.11	224589821
NC_000009.10	89161216

NC_000010.11	568815588
NC_000010.10	224589801
NC_000010.9		89161187

NC_000011.10	568815587
NC_000011.9		224589802
NC_000011.8		51511727

NC_000012.12	568815586
NC_000012.11	224589803
NC_000012.10	89161190

NC_000013.11	568815585
NC_000013.10	224589804
NC_000013.9		51511729

NC_000014.9		568815584
NC_000014.8		224589805
NC_000014.7		51511730

NC_000015.10	568815583
NC_000015.9		224589806
NC_000015.8		51511731

NC_000016.10	568815582
NC_000016.9		224589807
NC_000016.8		51511732

NC_000017.11	568815581
NC_000017.10	224589808
NC_000017.9		51511734

NC_000018.10	568815580
NC_000018.9		224589809
NC_000018.8		51511735

NC_000019.10	568815579
NC_000019.9		224589810
NC_000019.8		42406306

NC_000020.11	568815578
NC_000020.10	224589812
NC_000020.9		51511747

NC_000021.9		568815577
NC_000021.8		224589813
NC_000021.7		51511750

NC_000022.11	568815576
NC_000022.10	224589814
NC_000022.9		89161203

NC_000023.11	568815575
NC_000023.10	224589822
NC_000023.9		89161218

NC_000024.10	568815574
NC_000024.9		224589823
NC_000024.8		89161220
# NC_012920.1	251831106  MT   https://www.ncbi.nlm.nih.gov/genome/51
NC_012920.1		251831106














